"","Тип","Постоянная.кислотность..г.л.винной.кислоты.","Летучая.кислотность..г.л.уксусной.кислоты.","Содержание.лимонной.кислоты..г.л.","Остаточный.сахар..г.л.","Хлориды..г.л.поваренной.соли.","Свободный.диоксид.серы..мг.л.","Суммарный.диоксид.серы..мг.л.","Плотность..г.см3.","pH","Сульфаты..г.л.сульфата.калия.","Содержание.алкоголя...","Экспертная.оценка"
"3137","белое",8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,6
"3138","белое",6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6
"3139","белое",7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
"3140","белое",7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6
"3141","белое",7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
"3142","белое",7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6
"3143","белое",7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,6
"3144","белое",8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
"3145","белое",7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,6
"3146","белое",6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6
"3147","белое",6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6
"3148","белое",7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6
"3149","белое",8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
"3150","белое",7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
"3151","белое",6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6
"3152","белое",7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,7
"3153","белое",6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,7
"3154","белое",7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7
"3155","белое",6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7,7
"3156","белое",7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,6
"3157","белое",7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
"3158","белое",6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
"3159","белое",8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4
"3160","белое",7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
"3161","белое",9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
"3162","белое",7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,7
"3163","белое",7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
"3164","белое",9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
"3165","белое",8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6
"3166","белое",7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5
"3167","белое",7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5
"3168","белое",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
"3169","белое",6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5
"3170","белое",6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,5
"3171","белое",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
"3172","белое",6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6
"3173","белое",7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5
"3174","белое",8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4
"3175","белое",6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6
"3176","белое",6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,6
"3177","белое",7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,4
"3178","белое",6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
"3179","белое",7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
"3180","белое",9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5
"3181","белое",9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6
"3182","белое",8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
"3183","белое",6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
"3184","белое",6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
"3185","белое",7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
"3186","белое",9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,5
"3187","белое",6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
"3188","белое",7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
"3189","белое",7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6
"3190","белое",7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,6
"3191","белое",6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,6
"3192","белое",6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,6
"3193","белое",8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,6
"3194","белое",7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
"3195","белое",6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
"3196","белое",6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5
"3197","белое",6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
"3198","белое",6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6
"3199","белое",6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6
"3200","белое",7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
"3201","белое",8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,6
"3202","белое",5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5
"3203","белое",5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7
"3204","белое",6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5
"3205","белое",7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9
"3206","белое",7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
"3207","белое",5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
"3208","белое",6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,5
"3209","белое",8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,7
"3210","белое",7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
"3211","белое",8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6
"3212","белое",7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
"3213","белое",8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7
"3214","белое",8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
"3215","белое",7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6
"3216","белое",6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6
"3217","белое",6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6
"3218","белое",6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6
"3219","белое",6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8
"3220","белое",7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
"3221","белое",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
"3222","белое",6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6
"3223","белое",7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6
"3224","белое",9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,7
"3225","белое",6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6
"3226","белое",9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6
"3227","белое",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
"3228","белое",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
"3229","белое",7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6
"3230","белое",6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5
"3231","белое",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
"3232","белое",7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,8
"3233","белое",7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7
"3234","белое",8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6
"3235","белое",7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,6
"3236","белое",7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
"3237","белое",8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
"3238","белое",7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5
"3239","белое",7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5
"3240","белое",7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
"3241","белое",6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6
"3242","белое",7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
"3243","белое",8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,7
"3244","белое",7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
"3245","белое",7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7
"3246","белое",6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6
"3247","белое",7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7
"3248","белое",7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5
"3249","белое",6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4
"3250","белое",7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7
"3251","белое",6.4,0.42,0.74,12.8,0.076,48,209,0.9978,3.12,0.58,9,6
"3252","белое",8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,4
"3253","белое",7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6
"3254","белое",6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,5
"3255","белое",7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,5
"3256","белое",5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,5
"3257","белое",7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6
"3258","белое",6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5
"3259","белое",6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,5
"3260","белое",6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6
"3261","белое",6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,6
"3262","белое",6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8,7
"3263","белое",7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6
"3264","белое",8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
"3265","белое",6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8
"3266","белое",7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5
"3267","белое",8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,6
"3268","белое",7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7
"3269","белое",7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
"3270","белое",7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,6
"3271","белое",7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
"3272","белое",6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,5
"3273","белое",6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5
"3274","белое",6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6
"3275","белое",6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5
"3276","белое",7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
"3277","белое",7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
"3278","белое",6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,6
"3279","белое",6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5
"3280","белое",7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
"3281","белое",6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,6
"3282","белое",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"3283","белое",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"3284","белое",7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7
"3285","белое",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"3286","белое",7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,5
"3287","белое",7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7
"3288","белое",6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
"3289","белое",7.1,0.16,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,6
"3290","белое",9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,4
"3291","белое",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"3292","белое",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"3293","белое",6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5
"3294","белое",7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,6
"3295","белое",7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6
"3296","белое",8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10,6
"3297","белое",6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6
"3298","белое",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"3299","белое",6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,6
"3300","белое",6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,6
"3301","белое",7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5
"3302","белое",6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4
"3303","белое",6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
"3304","белое",6.7,0.31,0.42,6.4,0.057,25,148,0.9955,3.16,0.45,9.6,5
"3305","белое",6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,6
"3306","белое",6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6
"3307","белое",6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,5
"3308","белое",7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4
"3309","белое",6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5
"3310","белое",8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5
"3311","белое",7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5
"3312","белое",7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6
"3313","белое",6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6
"3314","белое",6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
"3315","белое",6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
"3316","белое",7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6
"3317","белое",6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6
"3318","белое",9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,4
"3319","белое",5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6
"3320","белое",7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7
"3321","белое",8.2,0.15,0.48,2.7,0.052,24,190,0.995,3.5,0.45,10.9,7
"3322","белое",7.5,0.4,1,19.5,0.041,33,148,0.9977,3.24,0.38,12,6
"3323","белое",6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
"3324","белое",7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6
"3325","белое",6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6
"3326","белое",7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,6
"3327","белое",7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,6
"3328","белое",6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
"3329","белое",7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6
"3330","белое",9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,6
"3331","белое",8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6
"3332","белое",6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,5
"3333","белое",8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,6
"3334","белое",6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6
"3335","белое",8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6
"3336","белое",6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5
"3337","белое",6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6
"3338","белое",7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,5
"3339","белое",8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4
"3340","белое",6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6
"3341","белое",7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6
"3342","белое",6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
"3343","белое",8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6
"3344","белое",6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5
"3345","белое",6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5
"3346","белое",7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
"3347","белое",8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6
"3348","белое",8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5
"3349","белое",6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6
"3350","белое",7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6
"3351","белое",6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,7
"3352","белое",6.1,0.255,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,6
"3353","белое",7.4,0.23,0.25,1.4,0.049,43,141,0.9934,3.42,0.54,10.2,7
"3354","белое",6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6
"3355","белое",6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
"3356","белое",6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
"3357","белое",6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
"3358","белое",9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5
"3359","белое",6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,5
"3360","белое",6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6
"3361","белое",8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6
"3362","белое",6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,7
"3363","белое",7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6
"3364","белое",6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
"3365","белое",6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
"3366","белое",6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,5
"3367","белое",7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5
"3368","белое",6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5
"3369","белое",7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,7
"3370","белое",7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6
"3371","белое",6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
"3372","белое",7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,6
"3373","белое",7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6
"3374","белое",6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,6
"3375","белое",7.7,0.49,1,19.6,0.03,28,135,0.9973,3.24,0.4,12,6
"3376","белое",6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5
"3377","белое",6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
"3378","белое",6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8
"3379","белое",6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8
"3380","белое",8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5
"3381","белое",6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4
"3382","белое",8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
"3383","белое",8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
"3384","белое",6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,7
"3385","белое",8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
"3386","белое",7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,7
"3387","белое",7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,7
"3388","белое",8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,5
"3389","белое",7.8,0.2,0.24,1.6,0.026,26,189,0.991,3.08,0.74,12.1,7
"3390","белое",9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,5
"3391","белое",6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5
"3392","белое",7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,6
"3393","белое",7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5
"3394","белое",6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,5
"3395","белое",6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,6
"3396","белое",7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5
"3397","белое",6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8
"3398","белое",6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
"3399","белое",6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
"3400","белое",7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6
"3401","белое",9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,5
"3402","белое",6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
"3403","белое",6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
"3404","белое",7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6
"3405","белое",7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
"3406","белое",7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
"3407","белое",8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
"3408","белое",7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
"3409","белое",8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
"3410","белое",6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6
"3411","белое",7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
"3412","белое",5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6
"3413","белое",7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6
"3414","белое",8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
"3415","белое",6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
"3416","белое",6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7
